Detector Type,Descriptor Type,Image,TTC Lidar,TTC Camera,TTC Absolute Difference
BRISK,BRISK,0017.png,11.0301,10.1419,0.888198
BRISK,BRISK,0018.png,8.53557,11.5251,2.98956
BRISK,BRIEF,0001.png,12.2891,10.7008,1.58825
BRISK,BRIEF,0002.png,13.3547,20.5769,7.22219
BRISK,BRIEF,0003.png,16.3845,11.5517,4.83279
BRISK,BRIEF,0004.png,14.0764,19.0359,4.95943
BRISK,BRIEF,0005.png,12.7299,19.4002,6.67024
BRISK,BRIEF,0006.png,13.7511,20.1433,6.39227
BRISK,BRIEF,0007.png,13.7314,13.8987,0.167296
BRISK,BRIEF,0008.png,13.7901,19.6271,5.83701
BRISK,BRIEF,0009.png,12.059,14.4583,2.39934
BRISK,BRIEF,0010.png,11.8642,11.2591,0.605117
BRISK,BRIEF,0011.png,11.9682,11.7409,0.227319
BRISK,BRIEF,0012.png,9.88711,12.7406,2.85349
BRISK,BRIEF,0013.png,9.42504,11.5695,2.1445
BRISK,BRIEF,0014.png,9.30215,10.2206,0.91845
BRISK,BRIEF,0015.png,8.3212,10.8732,2.55202
BRISK,BRIEF,0016.png,8.89867,12.3888,3.49016
BRISK,BRIEF,0017.png,11.0301,10.345,0.68507
BRISK,BRIEF,0018.png,8.53557,10.3188,1.7832
BRISK,ORB,0001.png,12.2891,12.2097,0.0794042
BRISK,ORB,0002.png,13.3547,15.8248,2.47005
BRISK,ORB,0003.png,16.3845,14.7358,1.64868
BRISK,ORB,0004.png,14.0764,16.6143,2.53785
BRISK,ORB,0005.png,12.7299,23.5319,10.8019
BRISK,ORB,0006.png,13.7511,19.54,5.78889
BRISK,ORB,0007.png,13.7314,12.7006,1.03085
BRISK,ORB,0008.png,13.7901,15.9013,2.11117
BRISK,ORB,0009.png,12.059,13.7994,1.74043
BRISK,ORB,0010.png,11.8642,11.4778,0.386353
BRISK,ORB,0011.png,11.9682,14.3332,2.36504
BRISK,ORB,0012.png,9.88711,11.7119,1.82483
BRISK,ORB,0013.png,9.42504,11.8149,2.38991
BRISK,ORB,0014.png,9.30215,12.4365,3.13432
BRISK,ORB,0015.png,8.3212,11.3552,3.03401
BRISK,ORB,0016.png,8.89867,10.8966,1.99795
BRISK,ORB,0017.png,11.0301,8.62274,2.40737
BRISK,ORB,0018.png,8.53557,11.4319,2.89632
BRISK,FREAK,0001.png,12.2891,12.3233,0.0341916
BRISK,FREAK,0002.png,13.3547,19.2862,5.93148
BRISK,FREAK,0003.png,16.3845,12.4201,3.9644
BRISK,FREAK,0004.png,14.0764,14.1683,0.0918359
BRISK,FREAK,0005.png,12.7299,19.8429,7.11293
BRISK,FREAK,0006.png,13.7511,25.452,11.7009
BRISK,FREAK,0007.png,13.7314,12.6857,1.04574
BRISK,FREAK,0008.png,13.7901,15.7036,1.91344
BRISK,FREAK,0009.png,12.059,17.6936,5.63457
BRISK,FREAK,0010.png,11.8642,12.0748,0.210593
BRISK,FREAK,0011.png,11.9682,12.1358,0.167632
BRISK,FREAK,0012.png,9.88711,11.3245,1.43741
BRISK,FREAK,0013.png,9.42504,11.9626,2.53759
BRISK,FREAK,0014.png,9.30215,11.7026,2.40044
BRISK,FREAK,0015.png,8.3212,11.7863,3.46515
BRISK,FREAK,0016.png,8.89867,10.4531,1.55447
BRISK,FREAK,0017.png,11.0301,9.19353,1.83658
BRISK,FREAK,0018.png,8.53557,10.831,2.29548
BRISK,SIFT,0001.png,12.2891,11.6709,0.618196
BRISK,SIFT,0002.png,13.3547,16.2096,2.85492
BRISK,SIFT,0003.png,16.3845,15.8786,0.505842
BRISK,SIFT,0004.png,14.0764,13.4875,0.58899
BRISK,SIFT,0005.png,12.7299,28.9709,16.241
BRISK,SIFT,0006.png,13.7511,13.8752,0.124097
BRISK,SIFT,0007.png,13.7314,13.2377,0.493725
BRISK,SIFT,0008.png,13.7901,16.7119,2.92179
BRISK,SIFT,0009.png,12.059,17.531,5.47198
BRISK,SIFT,0010.png,11.8642,13.1041,1.23987
BRISK,SIFT,0011.png,11.9682,12.1943,0.226137
BRISK,SIFT,0012.png,9.88711,13.1057,3.21858
BRISK,SIFT,0013.png,9.42504,12.2021,2.77711
BRISK,SIFT,0014.png,9.30215,10.911,1.60883
BRISK,SIFT,0015.png,8.3212,11.0756,2.75436
BRISK,SIFT,0016.png,8.89867,13.0927,4.19406
BRISK,SIFT,0017.png,11.0301,10.6505,0.379578
BRISK,SIFT,0018.png,8.53557,12.1111,3.57552
ORB,BRISK,0001.png,12.2891,12.8362,0.547124
ORB,BRISK,0002.png,13.3547,38.7882,25.4335
ORB,BRISK,0003.png,16.3845,11.108,5.2765
ORB,BRISK,0004.png,14.0764,30.1566,16.0802
ORB,BRISK,0005.png,12.7299,520.246,507.516
ORB,BRISK,0006.png,13.7511,10.0536,3.69745
ORB,BRISK,0007.png,13.7314,27.9717,14.2403
ORB,BRISK,0008.png,13.7901,10.6652,3.12493
ORB,BRISK,0009.png,12.059,8.13194,3.92706
ORB,BRISK,0010.png,11.8642,11.2054,0.658804
ORB,BRISK,0011.png,11.9682,7.39988,4.56831
ORB,BRISK,0012.png,9.88711,-inf,inf
ORB,BRISK,0013.png,9.42504,13.4915,4.06647
ORB,BRISK,0014.png,9.30215,9.78295,0.480803
ORB,BRISK,0015.png,8.3212,-inf,inf
ORB,BRISK,0016.png,8.89867,15.2827,6.38401
ORB,BRISK,0017.png,11.0301,20.6239,9.59375
ORB,BRISK,0018.png,8.53557,28.9353,20.3997
ORB,BRIEF,0001.png,12.2891,12.2865,0.00262908
ORB,BRIEF,0002.png,13.3547,14.0331,0.678403
ORB,BRIEF,0003.png,16.3845,20.9521,4.5677
ORB,BRIEF,0004.png,14.0764,13.5645,0.511917
ORB,BRIEF,0005.png,12.7299,17.8221,5.09214
ORB,BRIEF,0006.png,13.7511,91.9868,78.2357
ORB,BRIEF,0007.png,13.7314,22.677,8.94557
ORB,BRIEF,0008.png,13.7901,128.514,114.724
ORB,BRIEF,0009.png,12.059,34.4268,22.3678
ORB,BRIEF,0010.png,11.8642,11.1337,0.730482
ORB,BRIEF,0011.png,11.9682,11.3653,0.602854
ORB,BRIEF,0012.png,9.88711,20.4501,10.563
ORB,BRIEF,0013.png,9.42504,12.8245,3.39947
ORB,BRIEF,0014.png,9.30215,8.92455,0.377596
ORB,BRIEF,0015.png,8.3212,17.3561,9.0349
ORB,BRIEF,0016.png,8.89867,11.2161,2.3174
ORB,BRIEF,0017.png,11.0301,12.155,1.12488
ORB,BRIEF,0018.png,8.53557,16.1825,7.6469
ORB,ORB,0001.png,12.2891,15.8012,3.51212
ORB,ORB,0002.png,13.3547,10.7758,2.57893
ORB,ORB,0003.png,16.3845,19.7007,3.31626
ORB,ORB,0004.png,14.0764,209.183,195.107
ORB,ORB,0005.png,12.7299,21.8774,9.14742
ORB,ORB,0006.png,13.7511,-inf,inf
ORB,ORB,0007.png,13.7314,-inf,inf
ORB,ORB,0008.png,13.7901,10.8951,2.89499
ORB,ORB,0009.png,12.059,-inf,inf
ORB,ORB,0010.png,11.8642,11.0582,0.805958
ORB,ORB,0011.png,11.9682,7.56735,4.40085
ORB,ORB,0012.png,9.88711,-inf,inf
ORB,ORB,0013.png,9.42504,12.4711,3.0461
ORB,ORB,0014.png,9.30215,13.7225,4.4204
ORB,ORB,0015.png,8.3212,-inf,inf
ORB,ORB,0016.png,8.89867,10.5499,1.65127
ORB,ORB,0017.png,11.0301,21.8692,10.839
ORB,ORB,0018.png,8.53557,20.178,11.6425
ORB,FREAK,0001.png,12.2891,12.5394,0.250327
ORB,FREAK,0002.png,13.3547,11.1048,2.24993
ORB,FREAK,0003.png,16.3845,11.3288,5.05568
ORB,FREAK,0004.png,14.0764,12.5761,1.50034
ORB,FREAK,0005.png,12.7299,-inf,inf
ORB,FREAK,0006.png,13.7511,17.8376,4.08651
ORB,FREAK,0007.png,13.7314,-inf,inf
ORB,FREAK,0008.png,13.7901,12.6809,1.10919
ORB,FREAK,0009.png,12.059,30.3425,18.2835
