Detector Type,Descriptor Type,Execution Time,Image
ORB,SIFT,1740.98,0005.png
ORB,SIFT,1765.62,0006.png
ORB,SIFT,1774.64,0007.png
ORB,SIFT,1773.81,0008.png
ORB,SIFT,1769.92,0009.png
sum/avg,,17639.43,1763.94
AKAZE,BRISK,2152.1,0000.png
AKAZE,BRISK,1949.64,0001.png
AKAZE,BRISK,1992,0002.png
AKAZE,BRISK,2036.26,0003.png
AKAZE,BRISK,1959.69,0004.png
AKAZE,BRISK,2001.67,0005.png
AKAZE,BRISK,2105.03,0006.png
AKAZE,BRISK,1965.84,0007.png
AKAZE,BRISK,1934.25,0008.png
AKAZE,BRISK,1887.45,0009.png
sum/avg,,19983.93,1998.39
AKAZE,BRIEF,1325.18,0000.png
AKAZE,BRIEF,1145.62,0001.png
AKAZE,BRIEF,1201.55,0002.png
AKAZE,BRIEF,1239.72,0003.png
AKAZE,BRIEF,1183.29,0004.png
AKAZE,BRIEF,1260.82,0005.png
AKAZE,BRIEF,1189.28,0006.png
AKAZE,BRIEF,1270.33,0007.png
AKAZE,BRIEF,1237.97,0008.png
AKAZE,BRIEF,1213.84,0009.png
sum/avg,,12267.6,1226.76
AKAZE,ORB,1387.71,0000.png
AKAZE,ORB,1307.67,0001.png
AKAZE,ORB,1304.85,0002.png
AKAZE,ORB,1297.8,0003.png
AKAZE,ORB,1379.51,0004.png
AKAZE,ORB,1379.17,0005.png
AKAZE,ORB,1272.71,0006.png
AKAZE,ORB,1358.68,0007.png
AKAZE,ORB,1304.27,0008.png
AKAZE,ORB,1452.7,0009.png
sum/avg,,13445.07,1344.51
AKAZE,FREAK,1406.48,0000.png
AKAZE,FREAK,1349.07,0001.png
AKAZE,FREAK,1324.32,0002.png
AKAZE,FREAK,1373.49,0003.png
AKAZE,FREAK,1403.32,0004.png
AKAZE,FREAK,1313.63,0005.png
AKAZE,FREAK,1273.89,0006.png
AKAZE,FREAK,1283.51,0007.png
AKAZE,FREAK,1306.77,0008.png
AKAZE,FREAK,1351.57,0009.png
sum/avg,,13386.05,1338.61
AKAZE,AKAZE,2505.79,0000.png
AKAZE,AKAZE,2386.98,0001.png
AKAZE,AKAZE,2229.65,0002.png
AKAZE,AKAZE,2443.73,0003.png
AKAZE,AKAZE,2289.57,0004.png
AKAZE,AKAZE,2359.04,0005.png
AKAZE,AKAZE,2571.96,0006.png
AKAZE,AKAZE,2246.6,0007.png
AKAZE,AKAZE,2317.42,0008.png
AKAZE,AKAZE,2423.91,0009.png
sum/avg,,23774.65,2377.47
AKAZE,SIFT,2298.59,0000.png
AKAZE,SIFT,2269.94,0001.png
AKAZE,SIFT,2213.94,0002.png
AKAZE,SIFT,2240.54,0003.png
AKAZE,SIFT,2370.44,0004.png
AKAZE,SIFT,2285.41,0005.png
AKAZE,SIFT,2281.37,0006.png
AKAZE,SIFT,2344.61,0007.png
AKAZE,SIFT,2302.73,0008.png
AKAZE,SIFT,2230.24,0009.png
sum/avg,,22837.81,2283.78
SIFT,BRISK,4340.35,0000.png
SIFT,BRISK,4151.94,0001.png
SIFT,BRISK,4153.78,0002.png
SIFT,BRISK,4158.68,0003.png
SIFT,BRISK,4136.43,0004.png
SIFT,BRISK,4182.61,0005.png
SIFT,BRISK,4139.65,0006.png
SIFT,BRISK,4157.64,0007.png
SIFT,BRISK,4144.79,0008.png
SIFT,BRISK,4153.58,0009.png
sum/avg,,41719.45,4171.95
SIFT,BRIEF,3478.37,0000.png
SIFT,BRIEF,3411,0001.png
SIFT,BRIEF,3401.55,0002.png
SIFT,BRIEF,3426.93,0003.png
SIFT,BRIEF,3409.94,0004.png
SIFT,BRIEF,3417.97,0005.png
SIFT,BRIEF,3767.15,0006.png
SIFT,BRIEF,3768.13,0007.png
SIFT,BRIEF,3451.11,0008.png
SIFT,BRIEF,3836.16,0009.png
sum/avg,,35368.31,3536.83
SIFT,FREAK,3677.33,0000.png
SIFT,FREAK,3721.42,0001.png
SIFT,FREAK,3640.22,0002.png
SIFT,FREAK,3563.3,0003.png
SIFT,FREAK,3734.79,0004.png
SIFT,FREAK,3552.29,0005.png
SIFT,FREAK,3563.66,0006.png
SIFT,FREAK,3561.51,0007.png
SIFT,FREAK,3525.18,0008.png
SIFT,FREAK,3525.06,0009.png
sum/avg,,36064.76,3606.48
SIFT,SIFT,6983.9,0000.png
SIFT,SIFT,6853.85,0001.png
SIFT,SIFT,6848.25,0002.png
SIFT,SIFT,6847.66,0003.png
SIFT,SIFT,6862.15,0004.png
SIFT,SIFT,6862.19,0005.png
SIFT,SIFT,6867.36,0006.png
SIFT,SIFT,6847.37,0007.png
SIFT,SIFT,6875.99,0008.png
SIFT,SIFT,6846.02,0009.png
sum/avg,,68694.74,6869.474
